t	U_Lyt	U_R0	T	I_PTC	I_NTC
13:47:08	6,34	1,42	84,0	0,01525	0,01635
13:47:38	6,34	1,42	82,7	0,01529	0,01613
13:48:08	6,34	1,41	81,7	0,01533	0,01571
13:48:38	6,37	1,40	80,8	0,01538	0,01530
13:49:08	6,33	1,38	79,9	0,01542	0,01486
13:49:38	6,33	1,37	78,9	0,01547	0,01447
13:50:08	6,36	1,37	78,0	0,01551	0,01411
13:50:38	6,35	1,35	77,2	0,01554	0,01372
13:51:08	6,39	1,35	76,4	0,01558	0,01335
13:51:38	6,40	1,34	75,6	0,01561	0,01303
13:52:08	6,42	1,34	74,8	0,01565	0,01275
13:52:38	6,41	1,33	74,1	0,01568	0,01245
13:53:08	6,43	1,32	73,4	0,01571	0,01219
13:53:38	6,48	1,32	72,7	0,01575	0,01194
13:54:08	6,48	1,31	72,0	0,01578	0,01167
13:54:38	6,51	1,31	71,4	0,01581	0,01144
13:55:08	6,50	1,30	70,8	0,01584	0,01120
13:55:38	6,51	1,29	70,2	0,01587	0,01099
13:56:08	6,53	1,28	69,5	0,01590	0,01077
13:56:38	6,53	1,27	69,0	0,01592	0,01058
13:57:08	6,53	1,27	68,5	0,01595	0,01039
13:57:38	6,56	1,26	67,8	0,01598	0,01020
13:58:08	6,56	1,26	67,3	0,01600	0,01004
13:58:38	6,57	1,25	66,9	0,01603	0,00990
13:59:08	6,58	1,25	66,3	0,01605	0,00975
13:59:38	6,57	1,24	65,8	0,01608	0,00959
14:00:08	6,58	1,23	65,3	0,01610	0,00942
14:00:38	6,59	1,22	64,8	0,01612	0,00926
14:01:08	6,59	1,22	64,2	0,01615	0,00910
14:01:38	6,59	1,21	63,8	0,01617	0,00896
14:02:08	6,61	1,21	63,3	0,01619	0,00882
14:02:38	6,61	1,20	62,9	0,01622	0,00869
14:03:08	6,61	1,20	62,4	0,01623	0,00859
14:03:38	6,63	1,19	62,0	0,01626	0,00847
14:04:08	6,61	1,18	61,6	0,01628	0,00836
14:04:38	6,64	1,18	61,2	0,01630	0,00824
14:05:08	6,64	1,18	60,8	0,01632	0,00813
14:05:38	6,64	1,17	60,4	0,01633	0,00801
14:06:08	6,65	1,17	60,0	0,01635	0,00793
14:06:38	6,65	1,16	59,6	0,01637	0,00784
14:07:08	6,66	1,16	59,2	0,01639	0,00774
14:07:38	6,66	1,15	58,9	0,01641	0,00767
14:08:08	6,65	1,15	58,6	0,01643	0,00759
14:08:38	6,65	1,14	58,2	0,01645	0,00751
14:09:08	6,65	1,14	57,9	0,01647	0,00743
14:09:38	6,64	1,13	57,5	0,01648	0,00734
14:10:08	6,66	1,13	57,2	0,01650	0,00727
14:10:38	6,66	1,12	57,0	0,01651	0,00719
14:11:08	6,67	1,12	56,6	0,01653	0,00711
14:11:38	6,68	1,12	56,3	0,01655	0,00704
14:12:08	6,68	1,11	56,0	0,01656	0,00698
14:12:38	6,68	1,11	55,7	0,01658	0,00690
14:13:08	6,71	1,11	55,4	0,01659	0,00682
14:13:38	6,70	1,10	55,0	0,01660	0,00676
14:14:08	6,71	1,10	54,8	0,01662	0,00670
14:14:38	6,70	1,09	54,5	0,01663	0,00664
14:15:08	6,69	1,09	54,2	0,01665	0,00657
14:15:38	6,69	1,08	54,0	0,01666	0,00651
14:16:08	6,69	1,08	53,6	0,01668	0,00645
14:16:38	6,72	1,08	53,4	0,01669	0,00638
14:17:08	6,71	1,07	53,1	0,01671	0,00633
14:17:38	6,71	1,07	52,9	0,01672	0,00628
14:18:08	6,72	1,07	52,6	0,01673	0,00623
14:18:38	6,73	1,07	52,4	0,01674	0,00618
14:19:08	6,71	1,06	52,1	0,01676	0,00613
14:19:38	6,74	1,06	51,9	0,01677	0,00608
14:20:08	6,74	1,06	51,6	0,01678	0,00603
14:20:38	6,74	1,06	51,4	0,01679	0,00598
14:21:08	6,74	1,05	51,1	0,01681	0,00593
14:21:38	6,74	1,05	50,9	0,01682	0,00587
14:22:08	6,75	1,05	50,7	0,01683	0,00582
14:22:38	6,75	1,04	50,4	0,01684	0,00577
14:23:08	6,76	1,04	50,2	0,01686	0,00572
14:23:38	6,79	1,04	49,9	0,01687	0,00568
14:24:08	6,80	1,04	49,7	0,01688	0,00563
14:24:38	6,78	1,03	49,5	0,01689	0,00558
