"t"	"T"
"s"	"°C"
0	83.3810032966582835
0.5	83.3810032966582835
1	83.3810032966582835
1.5	83.318162597463785
2	83.318162597463785
2.5	83.318162597463785
3	83.318162597463785
3.5	83.318162597463785
4	83.318162597463785
4.5	83.2553523527888366
5	83.318162597463785
5.5	83.2553523527888366
6	83.318162597463785
6.5	83.318162597463785
7	83.318162597463785
7.5	83.318162597463785
8	83.318162597463785
8.5	83.318162597463785
9	83.318162597463785
9.5	83.318162597463785
10	83.318162597463785
10.5	83.318162597463785
11	83.2553523527888366
11.5	83.2553523527888366
12	83.2553523527888366
12.5	83.2553523527888366
13	83.2553523527888366
13.5	83.2553523527888366
14	83.2553523527888366
14.5	83.2553523527888366
15	83.2553523527888366
15.5	83.2553523527888366
16	83.2553523527888366
16.5	83.2553523527888366
17	83.2553523527888366
17.5	83.2553523527888366
18	83.2553523527888366
18.5	83.2553523527888366
19	83.1925695954349572
19.5	83.2553523527888366
20	83.1925695954349572
20.5	83.1925695954349572
21	83.1925695954349572
21.5	83.1925695954349572
22	83.1925695954349572
22.5	83.1925695954349572
23	83.1925695954349572
23.5	83.1925695954349572
24	83.1925695954349572
24.5	83.1925695954349572
25	83.1925695954349572
25.5	83.1298123762305503
26	83.1298123762305503
26.5	83.1298123762305503
27	83.1298123762305503
27.5	83.1298123762305503
28	83.1298123762305503
28.5	83.1298123762305503
29	83.1298123762305503
29.5	83.1298123762305503
30	83.0670807286101176
30.5	83.0670807286101176
31	83.0670807286101176
31.5	83.0670807286101176
32	83.0670807286101176
32.5	83.0670807286101176
33	83.0043749145589111
33.5	83.0043749145589111
34	83.0670807286101176
34.5	83.0043749145589111
35	83.0043749145589111
35.5	83.0043749145589111
36	83.0043749145589111
36.5	83.0043749145589111
37	83.0043749145589111
37.5	83.0043749145589111
38	83.0043749145589111
38.5	82.9416951960621827
39	82.9416951960621827
39.5	82.9416951960621827
40	82.9416951960621827
40.5	82.9416951960621827
41	82.9416951960621827
41.5	82.8790418351051845
42	82.8790418351051845
42.5	82.8790418351051845
43	82.8790418351051845
43.5	82.8790418351051845
44	82.8790418351051845
44.5	82.8164150936731685
45	82.8790418351051845
45.5	82.8164150936731685
46	82.8164150936731685
46.5	82.8164150936731685
47	82.8164150936731685
47.5	82.8164150936731685
48	82.8164150936731685
48.5	82.8164150936731685
49	82.8164150936731685
49.5	82.8164150936731685
50	82.7538152337513866
50.5	82.7538152337513866
51	82.7538152337513866
51.5	82.7538152337513866
52	82.7538152337513866
52.5	82.6912425173250908
53	82.7538152337513866
53.5	82.7538152337513866
54	82.6912425173250908
54.5	82.6912425173250908
55	82.6912425173250908
55.5	82.6912425173250908
56	82.6912425173250908
56.5	82.6912425173250908
57	82.6912425173250908
57.5	82.6286972063795332
58	82.6286972063795332
58.5	82.6286972063795332
59	82.6286972063795332
59.5	82.6286972063795332
60	82.6286972063795332
60.5	82.6286972063795332
61	82.6286972063795332
61.5	82.6286972063795332
62	82.5661795628999657
62.5	82.6286972063795332
63	82.5661795628999657
63.5	82.5661795628999657
64	82.5661795628999657
64.5	82.5661795628999657
65	82.5661795628999657
65.5	82.5115006705275361
66	82.5115006705275361
66.5	82.5115006705275361
67	82.5115006705275361
67.5	82.5115006705275361
68	82.5115006705275361
68.5	82.5115006705275361
69	82.5115006705275361
69.5	82.5115006705275361
70	82.5115006705275361
70.5	82.5115006705275361
71	82.5115006705275361
71.5	82.4490356091609515
72	82.4490356091609515
72.5	82.4490356091609515
73	82.4490356091609515
73.5	82.4490356091609515
74	82.4490356091609515
74.5	82.4490356091609515
75	82.4490356091609515
75.5	82.3865989684631606
76	82.3865989684631606
76.5	82.3865989684631606
77	82.3865989684631606
77.5	82.3865989684631606
78	82.3865989684631606
78.5	82.3865989684631606
79	82.3865989684631606
79.5	82.3865989684631606
80	82.3865989684631606
80.5	82.3865989684631606
81	82.3865989684631606
81.5	82.3865989684631606
82	82.3241910104194154
82.5	82.3241910104194154
83	82.3241910104194154
83.5	82.3241910104194154
84	82.3241910104194154
84.5	82.2618119970149679
85	82.2618119970149679
85.5	82.2618119970149679
86	82.2618119970149679
86.5	82.2618119970149679
87	82.2618119970149679
87.5	82.2618119970149679
88	82.2618119970149679
88.5	82.2618119970149679
89	82.1994621902350701
89.5	82.1994621902350701
90	82.1994621902350701
90.5	82.1994621902350701
91	82.1994621902350701
91.5	82.1994621902350701
92	82.1994621902350701
92.5	82.1994621902350701
93	82.1994621902350701
93.5	82.1994621902350701
94	82.1994621902350701
94.5	82.1994621902350701
95	82.1994621902350701
95.5	82.1371418520649738
96	82.1994621902350701
96.5	82.1994621902350701
97	82.1371418520649738
97.5	82.1371418520649738
98	82.1371418520649738
98.5	82.1371418520649738
99	82.1371418520649738
99.5	82.1371418520649738
100	82.1371418520649738
100.5	82.1371418520649738
101	82.1371418520649738
101.5	82.1371418520649738
102	82.1371418520649738
102.5	82.0748512444899313
103	82.0748512444899313
103.5	82.0748512444899313
104	82.0748512444899313
104.5	82.0748512444899313
105	82.0748512444899313
105.5	82.0748512444899313
106	82.0748512444899313
106.5	82.0748512444899313
107	82.0125906294951944
107.5	82.0748512444899313
108	82.0748512444899313
108.5	82.0125906294951944
109	82.0125906294951944
109.5	82.0125906294951944
110	82.0125906294951944
110.5	82.0125906294951944
111	82.0125906294951944
111.5	82.0125906294951944
112	82.0125906294951944
112.5	82.0125906294951944
113	82.0125906294951944
113.5	81.9503602690660151
114	81.9503602690660151
114.5	81.9503602690660151
115	81.9503602690660151
115.5	81.9503602690660151
116	81.9503602690660151
116.5	81.9503602690660151
117	81.9503602690660151
117.5	81.9503602690660151
118	81.9503602690660151
118.5	81.9503602690660151
119	81.8881604251876454
119.5	81.8881604251876454
120	81.8881604251876454
120.5	81.8881604251876454
121	81.8881604251876454
121.5	81.8881604251876454
122	81.8881604251876454
122.5	81.8881604251876454
123	81.8881604251876454
123.5	81.8881604251876454
124	81.8881604251876454
124.5	81.8259913598453374
125	81.8259913598453374
125.5	81.8259913598453374
126	81.8259913598453374
126.5	81.8259913598453374
127	81.8259913598453374
127.5	81.8259913598453374
128	81.8259913598453374
128.5	81.8259913598453374
129	81.763853335024343
129.5	81.763853335024343
130	81.763853335024343
130.5	81.763853335024343
131	81.763853335024343
131.5	81.763853335024343
132	81.763853335024343
132.5	81.763853335024343
133	81.763853335024343
133.5	81.763853335024343
134	81.763853335024343
134.5	81.763853335024343
135	81.7017466127099142
135.5	81.763853335024343
136	81.763853335024343
136.5	81.7017466127099142
137	81.7017466127099142
137.5	81.7017466127099142
138	81.7017466127099142
138.5	81.7017466127099142
139	81.7017466127099142
139.5	81.7017466127099142
140	81.7017466127099142
140.5	81.7017466127099142
141	81.7017466127099142
141.5	81.7017466127099142
142	81.639671454887303
142.5	81.639671454887303
143	81.639671454887303
143.5	81.639671454887303
144	81.639671454887303
144.5	81.639671454887303
145	81.639671454887303
145.5	81.639671454887303
146	81.639671454887303
146.5	81.639671454887303
147	81.639671454887303
147.5	81.639671454887303
148	81.5776281235417614
148.5	81.5776281235417614
149	81.639671454887303
149.5	81.5776281235417614
150	81.5776281235417614
150.5	81.5776281235417614
151	81.5776281235417614
151.5	81.5776281235417614
152	81.5776281235417614
152.5	81.5776281235417614
153	81.5156168806585414
153.5	81.5776281235417614
154	81.5776281235417614
154.5	81.5776281235417614
155	81.5156168806585414
155.5	81.5156168806585414
156	81.5156168806585414
156.5	81.5156168806585414
157	81.5156168806585414
157.5	81.5156168806585414
158	81.5156168806585414
158.5	81.5156168806585414
159	81.5156168806585414
159.5	81.4536379882228949
160	81.5156168806585414
160.5	81.5156168806585414
161	81.4536379882228949
161.5	81.4536379882228949
162	81.4536379882228949
162.5	81.4536379882228949
163	81.4536379882228949
163.5	81.4536379882228949
164	81.4536379882228949
164.5	81.4536379882228949
165	81.4536379882228949
165.5	81.3916917082200741
166	81.4536379882228949
166.5	81.3916917082200741
167	81.3916917082200741
167.5	81.3916917082200741
168	81.3916917082200741
168.5	81.3916917082200741
169	81.3916917082200741
169.5	81.3916917082200741
170	81.3916917082200741
170.5	81.3916917082200741
171	81.3916917082200741
171.5	81.3297783026353308
172	81.3297783026353308
172.5	81.3297783026353308
173	81.3297783026353308
173.5	81.3297783026353308
174	81.3297783026353308
174.5	81.3297783026353308
175	81.3297783026353308
175.5	81.3297783026353308
176	81.3297783026353308
176.5	81.3297783026353308
177	81.3297783026353308
177.5	81.3297783026353308
178	81.267898033453917
178.5	81.3297783026353308
179	81.3297783026353308
179.5	81.267898033453917
180	81.267898033453917
180.5	81.267898033453917
181	81.267898033453917
181.5	81.267898033453917
182	81.267898033453917
182.5	81.267898033453917
183	81.267898033453917
183.5	81.267898033453917
184	81.267898033453917
184.5	81.267898033453917
185	81.267898033453917
185.5	81.267898033453917
186	81.267898033453917
186.5	81.267898033453917
187	81.267898033453917
187.5	81.267898033453917
188	81.2060511626610848
188.5	81.2060511626610848
189	81.2060511626610848
189.5	81.2060511626610848
190	81.2060511626610848
190.5	81.2060511626610848
191	81.2060511626610848
191.5	81.2060511626610848
192	81.2060511626610848
192.5	81.2060511626610848
193	81.2060511626610848
193.5	81.1442379522420862
194	81.1442379522420862
194.5	81.1442379522420862
195	81.1442379522420862
195.5	81.1442379522420862
196	81.1442379522420862
196.5	81.1442379522420862
197	81.1442379522420862
197.5	81.1442379522420862
198	81.1442379522420862
198.5	81.1442379522420862
199	81.1442379522420862
199.5	81.0824586641821731
200	81.0824586641821731
200.5	81.0824586641821731
201	81.0824586641821731
201.5	81.0824586641821731
202	81.0824586641821731
202.5	81.0824586641821731
203	81.0824586641821731
203.5	81.0824586641821731
204	81.0824586641821731
204.5	81.0824586641821731
205	81.0207135604665975
205.5	81.0207135604665975
206	81.0207135604665975
206.5	81.0207135604665975
207	81.0207135604665975
207.5	81.0207135604665975
208	81.0207135604665975
208.5	81.0207135604665975
209	81.0207135604665975
209.5	81.0207135604665975
210	81.0207135604665975
210.5	81.0207135604665975
211	81.0207135604665975
211.5	80.9590029030806114
212	80.9590029030806114
212.5	80.9590029030806114
213	80.9590029030806114
213.5	80.9590029030806114
214	80.9590029030806114
214.5	80.9590029030806114
215	80.9590029030806114
215.5	80.9590029030806114
216	80.9590029030806114
216.5	80.9590029030806114
217	80.9590029030806114
217.5	80.9590029030806114
218	80.8973269540094669
218.5	80.8973269540094669
219	80.8973269540094669
219.5	80.8973269540094669
220	80.8973269540094669
220.5	80.8973269540094669
221	80.8973269540094669
221.5	80.8973269540094669
222	80.8973269540094669
222.5	80.8973269540094669
223	80.8973269540094669
223.5	80.8973269540094669
224	80.8973269540094669
224.5	80.8973269540094669
225	80.8973269540094669
225.5	80.8356859752384159
226	80.8973269540094669
226.5	80.8356859752384159
227	80.8356859752384159
227.5	80.8356859752384159
228	80.8356859752384159
228.5	80.8356859752384159
229	80.8356859752384159
229.5	80.8356859752384159
230	80.8356859752384159
230.5	80.8356859752384159
231	80.8356859752384159
231.5	80.8356859752384159
232	80.8356859752384159
232.5	80.7740802287527104
233	80.7740802287527104
233.5	80.7740802287527104
234	80.7740802287527104
234.5	80.7740802287527104
235	80.7740802287527104
235.5	80.7740802287527104
236	80.7740802287527104
236.5	80.7740802287527104
237	80.7740802287527104
237.5	80.7740802287527104
238	80.7740802287527104
238.5	80.7740802287527104
239	80.7740802287527104
239.5	80.7125099765376023
240	80.7740802287527104
240.5	80.7125099765376023
241	80.7125099765376023
241.5	80.7125099765376023
242	80.7125099765376023
242.5	80.7125099765376023
243	80.7125099765376023
243.5	80.7125099765376023
244	80.7125099765376023
244.5	80.7125099765376023
245	80.7125099765376023
245.5	80.7125099765376023
246	80.7125099765376023
246.5	80.6509754805783438
247	80.7125099765376023
247.5	80.6509754805783438
248	80.6509754805783438
248.5	80.6509754805783438
249	80.6509754805783438
249.5	80.6509754805783438
250	80.6509754805783438
250.5	80.6509754805783438
251	80.6509754805783438
251.5	80.6509754805783438
252	80.6509754805783438
252.5	80.6509754805783438
253	80.6509754805783438
253.5	80.6509754805783438
254	80.6509754805783438
254.5	80.6509754805783438
255	80.6509754805783438
255.5	80.5894770028601868
256	80.5894770028601868
256.5	80.5894770028601868
257	80.5894770028601868
257.5	80.5894770028601868
258	80.5894770028601868
258.5	80.5894770028601868
259	80.5894770028601868
259.5	80.5894770028601868
260	80.5894770028601868
260.5	80.5894770028601868
261	80.5894770028601868
261.5	80.5894770028601868
262	80.5894770028601868
262.5	80.5280148053683832
263	80.5894770028601868
263.5	80.5280148053683832
264	80.5280148053683832
264.5	80.5894770028601868
265	80.5280148053683832
265.5	80.5280148053683832
266	80.5280148053683832
266.5	80.5280148053683832
267	80.5280148053683832
