t	U_L	U_Ges
0:00	0,00	8,03
0:02	0,06	8,03
0:04	0,16	8,03
0:06	0,24	8,03
0:08	0,32	8,03
0:10	0,40	8,03
0:12	0,49	8,03
0:14	0,58	8,03
0:16	0,66	8,03
0:18	0,73	8,03
0:20	0,82	8,03
0:22	0,89	8,03
0:24	0,96	8,03
0:26	1,05	8,03
0:28	1,13	8,03
0:30	1,22	8,03
0:32	1,29	8,03
0:34	1,38	8,03
0:36	1,46	8,03
0:38	1,54	8,03
0:40	1,62	8,03
0:42	1,70	8,03
0:44	1,78	8,03
0:46	1,86	8,03
0:48	1,94	8,03
0:50	2,02	8,03
0:52	2,10	8,03
0:54	2,19	8,03
0:56	2,27	8,03
0:58	2,34	8,03
1:00	2,42	8,03
1:02	2,50	8,03
1:04	2,58	8,03
1:06	2,66	8,03
1:08	2,74	8,03
1:10	2,82	8,03
1:12	2,90	8,03
1:14	2,99	8,03
1:16	3,06	8,03
1:18	3,14	8,03
1:20	3,23	8,03
1:22	3,31	8,03
1:24	3,38	8,03
1:26	3,46	8,03
1:28	3,54	8,03
1:30	3,63	8,03
1:32	3,72	8,03
1:34	3,80	8,03
1:36	3,87	8,03
1:38	3,95	8,03
1:40	4,03	8,03
1:42	4,12	8,03
1:44	4,20	8,03
1:46	4,27	8,03
1:48	4,35	8,03
1:50	4,44	8,03
1:52	4,52	8,03
1:54	4,59	8,03
1:56	4,68	8,03
1:58	4,76	8,03
2:00	4,85	8,03
2:02	4,92	8,03
2:04	4,99	8,03
2:06	5,08	8,03
2:08	5,16	8,03
2:10	5,24	8,03
2:12	5,34	8,03
2:14	5,32	8,03
2:16	5,40	8,03
2:18	5,48	8,03
2:20	5,55	8,03
2:22	5,64	8,03
2:24	5,73	8,03
2:26	5,82	8,03
2:28	5,89	8,03
2:30	5,97	8,03
2:32	6,04	8,03
2:34	6,13	8,03
2:36	6,21	8,03
2:38	6,29	8,03
2:40	6,46	8,03
2:42	6,45	8,03
2:44	6,54	8,03
2:46	6,61	8,03
2:48	6,71	8,03
2:50	6,78	8,03
2:52	6,86	8,03
2:54	6,94	8,03
2:56	7,02	8,03
2:58	7,10	8,03
3:00	7,17	8,03
3:02	7,26	8,03
3:04	7,34	8,03
3:06	7,42	8,03
3:08	7,50	8,03
3:10	7,59	8,03
3:12	7,67	8,03
3:14	7,75	8,03
3:16	7,84	8,03
3:18	7,92	8,03
3:20	8,00	8,03
3:22	8,09	8,03
3:24	8,09	8,03
